File,Date ,Size,Type
 34JourneyDataExtract30Nov2016-06Dec2016.csv,"Feb 2nd 2017, 05:11:11 pm",20.34 MB,CSV file
 35JourneyDataExtract07Dec2016-13Dec2016.csv,"Feb 2nd 2017, 05:11:06 pm",20.96 MB,CSV file
 36JourneyDataExtract14Dec2016-20Dec2016.csv,"Feb 2nd 2017, 05:11:00 pm",20.17 MB,CSV file
 37JourneyDataExtract21Dec2016-27Dec2016.csv,"Feb 2nd 2017, 05:10:57 pm",15.41 MB,CSV file
 38JourneyDataExtract28Dec2016-03Jan2017.csv,"Feb 2nd 2017, 05:11:55 pm",10.69 MB,CSV file
 39JourneyDataExtract04Jan2017-10Jan2017.csv,"Mar 15th 2017, 04:59:26 pm",19.11 MB,CSV file
 3a.JourneyDataExtract01Mar15-15Mar15.csv,"Aug 24th 2016, 03:13:18 pm",41.81 MB,CSV file
 3b.JourneyDataExtract16Mar15-31Mar15.csv,"Aug 24th 2016, 03:13:26 pm",42.44 MB,CSV file
 40JourneyDataExtract11Jan2017-17Jan2017.csv,"Feb 2nd 2017, 05:12:02 pm",16.11 MB,CSV file
 41JourneyDataExtract18Jan2017-24Jan2017.csv,"Feb 2nd 2017, 05:12:05 pm",19.61 MB,CSV file
 42JourneyDataExtract25Jan2017-31Jan2017.csv,"Feb 2nd 2017, 05:12:10 pm",17.73 MB,CSV file
 43JourneyDataExtract01Feb2017-07Feb2017.csv,"Mar 15th 2017, 05:01:06 pm",18.76 MB,CSV file
 44JourneyDataExtract08Feb2017-14Feb2017.csv,"Mar 15th 2017, 05:00:27 pm",16.63 MB,CSV file
 45JourneyDataExtract15Feb2017-21Feb2017.csv,"Mar 15th 2017, 05:02:48 pm",21.18 MB,CSV file
 46JourneyDataExtract22Feb2017-28Feb2017.csv,"Mar 15th 2017, 05:02:12 pm",18.19 MB,CSV file
 47JourneyDataExtract01Mar2017-07Mar2017.csv,"Mar 15th 2017, 05:06:06 pm",19.71 MB,CSV file
 48JourneyDataExtract08Mar2017-14Mar2017.csv,"Mar 15th 2017, 05:05:57 pm",23.41 MB,CSV file
 49JourneyDataExtract15Mar2017-21Mar2017.xlsx,"Mar 23rd 2017, 11:03:43 am",10.94 MB,XLSX file
 4a.JourneyDataExtract01Apr15-16Apr15.csv,"Aug 24th 2016, 03:13:34 pm",51.46 MB,CSV file
 4b.JourneyDataExtract 17Apr15-02May15.csv,"Aug 24th 2016, 03:13:45 pm",55.72 MB,CSV file
 50 Journey Data Extract 22Mar2017-28Mar2017.csv,"Apr 19th 2017, 10:48:12 am",23.60 MB,CSV file
 51 Journey Data Extract 29Mar2017-04Apr2017.csv,"Apr 19th 2017, 10:47:54 am",26.61 MB,CSV file
 52 Journey Data Extract 05Apr2017-11Apr2017.csv,"Apr 19th 2017, 10:47:40 am",30.82 MB,CSV file
 53JourneyDataExtract12Apr2017-18Apr2017.csv,"May 9th 2017, 09:51:23 am",22.22 MB,CSV file
 54JourneyDataExtract19Apr2017-25Apr2017.csv,"May 9th 2017, 09:51:43 am",26.15 MB,CSV file
 55JourneyData Extract26Apr2017-02May2017.csv,"May 9th 2017, 09:52:05 am",23.43 MB,CSV file
 56JourneyDataExtract 03May2017-09May2017.csv,"May 11th 2017, 03:13:08 pm",25.58 MB,CSV file
 57JourneyDataExtract10May2017-16May2017.csv,"May 19th 2017, 03:02:16 pm",27.20 MB,CSV file
 58JourneyDataExtract17May2017-23May2017.csv,"May 25th 2017, 09:29:41 am",25.60 MB,CSV file
 59JourneyDataExtract24May2017-30May2017.csv,"May 31st 2017, 02:34:20 pm",31.13 MB,CSV file
 5a.JourneyDataExtract03May15-16May15.csv,"Aug 24th 2016, 03:13:59 pm",48.75 MB,CSV file
 5b.JourneyDataExtract17May15-30May15.csv,"Aug 24th 2016, 03:14:11 pm",51.95 MB,CSV file
 60JourneyDataExtract31May2017-06Jun2017.csv,"Jun 7th 2017, 04:21:28 pm",28.36 MB,CSV file
 61JourneyDataExtract07Jun2017-13Jun2017.csv,"Jun 15th 2017, 01:32:41 pm",30.16 MB,CSV file
 62JourneyDataExtract14Jun2017-20Jun2017.csv,"Jul 5th 2017, 12:31:14 pm",35.55 MB,CSV file
 63JourneyDataExtract21Jun2017-27Jun2017.csv,"Jul 11th 2017, 05:26:59 pm",30.50 MB,CSV file
 64JourneyDataExtract28Jun2017-04Jul2017.csv,"Jul 11th 2017, 05:26:38 pm",33.30 MB,CSV file
 65JourneyDataExtract05Jul2017-11Jul2017.csv,"Jul 13th 2017, 12:50:41 pm",34.05 MB,CSV file
 66JourneyDataExtract12Jul2017-18Jul2017.csv,"Aug 9th 2017, 09:45:17 am",32.19 MB,CSV file
 67JourneyDataExtract19Jul2017-25Jul2017.csv,"Aug 9th 2017, 09:45:45 am",27.98 MB,CSV file
 68JourneyDataExtract26Jul2017-31Jul2017.csv,"Aug 9th 2017, 09:46:11 am",23.36 MB,CSV file
 69JourneyDataExtract01Aug2017-07Aug2017.csv,"Sep 20th 2017, 02:51:34 pm",27.44 MB,CSV file
 6aJourneyDataExtract31May15-12Jun15.csv,"Aug 24th 2016, 03:14:25 pm",51.51 MB,CSV file
 6bJourneyDataExtract13Jun15-27Jun15.csv,"Aug 24th 2016, 03:14:36 pm",62.77 MB,CSV file
 70JourneyDataExtract08Aug2017-14Aug2017.csv,"Sep 20th 2017, 02:51:53 pm",26.21 MB,CSV file
 71JourneyDataExtract15Aug2017-22Aug2017.csv,"Sep 20th 2017, 02:52:11 pm",30.24 MB,CSV file
 72JourneyDataExtract23Aug2017-29Aug2017.csv,"Sep 20th 2017, 02:52:31 pm",28.92 MB,CSV file
 73JourneyDataExtract30Aug2017-05Sep2017.csv,"Sep 20th 2017, 02:59:49 pm",25.30 MB,CSV file
